Arts Instruction & Technology Resource Center	(33.649775,-117.84389720000001) 
Drama Building	(33.6497388,-117.84490579999999) 
Choral Studio	(33.6496033,-117.84401609999998) 
Nixon Theatre	(33.6839473,-117.79469419999998) 
Sculpture & Ceramic Studios	(33.6839473,-117.79469419999998) 
New Media Arts Center	(33.6839473,-117.79469419999998) 
Contemporary Arts Center	(33.6500888,-117.84523660000002) 
Studio Four	(33.6501442,-117.8456941) 
Music & Media Building	(33.6493538,-117.84439900000001) 
Art Culture & Technology	(33.6839473,-117.79469419999998) 
Performance Studios	(33.6506035,-117.8452026) 
Cafe Med	(33.6460576,-117.8491287) 
University Club	(33.6429474,-117.8425249) 
Berk Hall	(33.6462046,-117.84951890000002) 
Medical Surge I	(33.6464428,-117.85012570000004) 
Medical Sciences B	(33.6455381,-117.8498348) 
Medical Surge II	(33.6469366,-117.8502904) 
Medical Sciences A	(33.6450723,-117.84981070000003) 
Medical Sciences A Administration	(33.644809,-117.84992840000001) 
Beckman Laser Institute	(33.6441175,-117.84994469999998) 
Medical Sciences A Annex	(33.6448608,-117.85037790000001) 
Gottschalk Medical Plaza	(33.6468827,-117.85109119999998) 
School of Medicine Admissions	(33.6839473,-117.79469419999998) 
Medical Sciences C	(33.6455325,-117.85038880000002) 
Medical Sciences E	(33.6454178,-117.85151789999998) 
Plumwood House (Hitachi)	(33.6839473,-117.79469419999998) 
Tamkin Student Lecture Building	(33.6455682,-117.85199060000002) 
MRI 4T Trailer	(33.645476,-117.85235940000001) 
Medical Sciences Classroom Facility	(33.6453434,-117.85235950000003) 
Irvine Hall	(33.6450197,-117.85262840000001) 
Medical Education Building	(33.6446572,-117.85213920000001) 
Gillespie Neuroscience Research Facility	(33.6440191,-117.85130029999999) 
Sprague Hall	(33.6440684,-117.8520168) 
MRI 3T Trailer	(33.6452498,-117.85214209999998) 
Hewitt Research Hall	(33.64346099999999,-117.85203100000001) 
Gross Hall	(33.6434648,-117.85134979999998) 
Grounds Maintenance Facility	(33.6427899,-117.8486891) 
Building Services Bldg.	(33.6424363,-117.84849489999999) 
Thermal Energy Storage Tank	(33.6483965,-117.84617559999998) 
Bren Events Center	(33.6493978,-117.84707709999998) 
Bren Events Center	(33.6493978,-117.84707709999998) 
Central Plant	(33.6479102,-117.84680209999999) 
Crawford Hall	(33.6480351,-117.84805649999998) 
Crawford Pool	(33.648422,-117.84771869999997) 
Track & Field House	(33.6839473,-117.79469419999998) 
Crawford Field	(33.6839473,-117.79469419999998) 
Anteater Stadium	(33.6504494,-117.85014539999997) 
Tennis Courts	(33.6500336,-117.84771869999997) 
Anteater Ballpark	(33.6514357,-117.8471874) 
Crawford Clubhouse	(33.6476044,-117.84921759999997) 
University Tower	(33.6507716,-117.83824040000002) 
Office of Technology Alliances	(33.6507716,-117.83824040000002) 
Thesaurus Linguae Graecae	(33.6507716,-117.83824040000002) 
Production Studio	(33.649706,-117.845736) 
Cheney Hall	(33.645516,-117.851004) 
Children's Center	(33.644622,-117.830731) 
Painting Studios	(33.650074,-117.844742) 
Art Studio	(33.650074,-117.844742) 
